Age,Subscription_Type,Watch_Time_Hours,Churn,Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_Mexico,Country_UK,Country_USA,Favorite_Genre_Action,Favorite_Genre_Comedy,Favorite_Genre_Documentary,Favorite_Genre_Drama,Favorite_Genre_Horror,Favorite_Genre_Romance,Favorite_Genre_Sci-Fi
27,1,568.86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,1,67.28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,0,835.85,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
52,0,91.07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26,0,703.81,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
64,0,693.84,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
80,2,431.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,1,13.5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15,2,914.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,1,404.84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,2,610.93,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2,834.96,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,0,145.66,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50,0,370.08,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
45,1,474.83,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,2,321.21,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,0,197.08,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,2,420.58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,0,479.4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,1,12.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55,0,157.64,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
65,1,589.28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1,367.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
72,2,889.42,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16,2,739.71,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
55,0,672.43,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29,2,625.92,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
41,2,611.38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
49,2,997.8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,1,17.03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,1,251.57,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
68,0,247.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55,0,637.46,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28,2,331.5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40,2,539.51,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
27,2,347.83,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,0,772.69,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,2,531.37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,868.11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
52,0,482.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,0,111.95,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
29,1,915.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
58,1,255.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
52,2,351.09,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51,0,890.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46,0,452.21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,1,703.49,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
27,2,114.84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,2,735.79,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70,2,486.56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
78,2,443.05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
74,2,609.74,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,2,101.32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
59,0,452.51,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
73,0,726.72,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,1,164.45,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
78,0,924.9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
71,0,740.04,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
73,2,598.3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
61,1,523.21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,0,858.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,1,635.38,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40,1,402.75,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,0,435.56,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
37,1,164.11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,2,413.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32,2,626.92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,0,731.09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,0,122.87,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18,1,540.53,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
55,2,503.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,1,225.38,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
79,0,135.98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
39,0,709.87,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
67,1,488.31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
77,2,690.18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
57,0,808.07,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,1,978.84,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,2,81.11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,271.58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,2,229.82,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,748.26,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
70,2,356.57,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,2,87.79,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,1,627.39,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
33,0,13.55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2,336.13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
50,0,251.13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
55,1,175.47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,2,98.9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,1,988.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,1,816.36,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
58,0,732.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,0,202.57,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,1,758.62,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
61,2,10.31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,1,633.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,2,278.69,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
77,0,147.04,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
79,2,884.66,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
44,2,485.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,1,479.08,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,0,744.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
70,0,17.94,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
78,1,457.57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,2,325.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,1,18.62,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
38,1,80.87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
67,1,164.13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,2,640.75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
53,1,793.72,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
54,1,517.41,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,0,999.14,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
80,1,766.11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
76,0,689.16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
14,1,702.52,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,0,975.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32,0,670.83,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
56,2,342.26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,0,846.85,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
55,2,558.87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,0,989.34,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,0,835.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,0,242.26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
76,0,759.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2,507.15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,2,269.42,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
58,2,153.32,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
50,0,457.19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
79,1,799.77,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,0,934.12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,0,961.56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
49,0,478.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,1,56.21,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,0,885.8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54,0,14.28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
45,2,580.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,0,566.29,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
43,1,358.64,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,2,826.06,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,1,893.69,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
43,0,737.2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
18,2,72.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,0,741.62,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,0,945.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
78,1,46.3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,2,466.93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,0,866.49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,1,192.61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
47,2,414.81,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,1,332.14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25,2,531.46,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,2,260.06,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,0,301.54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,0,870.79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
60,1,553.57,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,792.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
78,1,982.44,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30,0,174.99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
67,1,727.39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2,3.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2,455.69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
57,1,956.44,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1,109.93,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
33,0,748.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,0,914.92,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,2,747.86,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72,0,235.91,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
49,2,749.77,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
66,0,628.14,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
80,1,776.4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
75,0,838.37,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
48,0,222.55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,0,701.24,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,1,444.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,2,883.16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
23,1,287.09,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
52,2,745.62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
51,0,366.11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
41,0,800.18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68,2,218.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,0,811.94,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
59,1,154.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,1,538.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
21,2,952.42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
38,2,60.01,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,0,31.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,1,769.68,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,2,205.73,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,2,449.56,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,1,324.19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,0,349.96,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
76,1,484.18,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,0,691.81,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20,1,641.48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,2,462.73,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36,2,655.31,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,2,630.76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,0,20.48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
70,0,857.43,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,1,23.35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
57,1,52.82,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,0,332.26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
72,0,54.61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,0,438.98,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,1,539.58,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,1,959.06,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
14,1,45.63,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
42,1,903.41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
45,0,687.91,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1,561.13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
74,0,675.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,1,890.77,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35,1,746.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
61,2,138.06,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,1,225.61,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
57,1,394.56,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,0,902.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,0,491.04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26,0,83.59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31,0,449.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35,0,418.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,1,331.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,2,508.92,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
62,2,272.88,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,1,362.15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,2,934.33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
69,2,109.87,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
67,1,747.73,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
52,1,674.12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,1,958.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20,2,107.38,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20,0,901.22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
55,0,441.32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,0,233.67,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
63,1,42.36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50,2,220.24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,2,756.54,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19,1,308.63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,2,165.43,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21,2,710.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
68,0,875.2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,2,151.14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
57,2,426.41,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,1,390.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20,2,599.78,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37,2,700.62,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24,0,520.73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,2,8.58,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16,0,596.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
56,1,639.06,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23,2,133.63,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,1,557.79,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
45,2,387.32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,0,712.33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,1,168.27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45,1,996.64,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,0,68.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
43,1,903.68,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
59,1,44.63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25,1,264.82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,2,490.78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0,496.6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,1,887.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40,2,747.98,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24,1,374.22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
52,1,291.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,1,342.12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,2,377.51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
37,1,500.89,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,0,615.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,2,592.32,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,2,541.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,0,793.71,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
59,2,263.71,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1,797.93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
32,0,32.21,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,0,699.95,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
